Country,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015
China,1061876,1153164,1221056,1268302,1302285,1336681,1367486
India,759613,838159,920585,1006301,1090974,1173109,1251696
United States,237924,249623,266279,282163,295517,309348,321369
Indonesia,166070,181600,197604,214091,229245,243423,255994
Brazil,135734,149410,161912,174316,186021,195835,204260
Pakistan,102079,118817,134186,152430,169279,184405,199086
Nigeria,84898,96685,109753,123946,141190,160342,181563
Bangladesh,102309,112213,121443,132151,144139,156119,168958
Russia,143938,147973,148759,147054,143320,142527,142424
Japan,120755,123538,125328,126776,127716,127580,126920
Mexico,76601,84635,92584,99776,106577,114062,121737
Philippines,54589,61481,68472,76452,84965,93137,100999
Ethiopia,40684,47555,55726,64366,74355,86043,99466
Vietnam,60094,67259,73784,79178,84425,89572,94349
Egypt,50053,54908,58946,65159,72544,80472,88488
Iran,48619,58101,64218,68632,72283,76924,81825
Germany,77685,79381,81654,82184,82440,81645,80855
Turkey,50989,56545,61296,65970,70465,74687,79415
Democratic Republic of the Congo,33348,39152,46705,52446,60699,69852,79376
Thailand,51759,56097,59818,62902,65113,66721,67977
France,56561,58256,59824,61256,63060,64941,66554
United Kingdom,56585,57411,58187,59140,60488,62349,64089
Italy,56719,56714,57295,57785,59038,60749,61856
Myanmar,36766,40464,43994,47439,50573,53415,56321
South Africa,34255,38504,42148,44914,48105,51123,53676
Tanzania,21485,24805,29065,33194,38487,44289,51046
South Korea,40807,42870,45106,46839,48006,48637,49116
Spain,38535,39351,39765,40590,43705,46506,48147
Colombia,29748,33148,36532,38911,41488,44206,46737
Kenya,19763,23361,27164,30606,35247,40844,45926
Ukraine,50945,51623,51248,49014,47003,45769,44430
Argentina,30672,33036,35274,37336,39182,41344,43432
Algeria,22009,25191,28322,30639,32918,35950,39543
Poland,37226,38120,38601,38655,38557,38617,38563
Uganda,13811,16549,19641,22917,26917,31508,37102
Iraq,15694,18140,19658,23129,27538,30527,37057
Sudan,17507,21130,24517,27068,29884,32997,36109
Canada,25942,27791,29691,31100,32387,33760,35100
Morocco,21644,24000,26148,28114,29901,31628,33323
Afghanistan,13120,13569,19446,22462,26335,29121,32565
Nepal,16570,18919,21877,24819,27094,28952,31552
Malaysia,15650,17883,20340,23152,25969,28275,30514
Peru,19380,21565,23864,25797,27443,28948,30445
Venezuela,16998,19326,21550,23493,25270,27224,29276
Uzbekistan,18216,20531,23068,25042,26540,27866,29200
Saudi Arabia,13331,16061,18756,21312,23643,25732,27753
Yemen,10540,12417,14832,17236,20003,23210,26738
Ghana,13573,15549,17322,18982,21107,23572,26328
Mozambique,13294,12990,15889,17997,20069,22418,25304
North Korea,18831,20452,22108,22785,23621,24326,24984
Madagascar,10029,11633,13533,15713,18132,20847,23813
